Размещение на сайте;Название;Цена минус 5%;oldPrice;Цена;discauntPrice;Фотографии;Описание;Артикул;Цвет;Мощность (Ватт);Напряжение (Вольт);Цветовая температура (К);Срок службы (Час);Размеры мм (длина * толщина);Модель;Цоколь
Нитевидные лампы (Filament);Ecola globe   LED Premium  6,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/eb2/eb25e30d4a16472ff6653895125442de.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887259;;6;220;4000;30000;68x45;;E27
Нитевидные лампы (Filament);Ecola globe   LED Premium  6,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/8cf/8cf808b72035bc2a1d6d289634bb14cf.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887241;;6;220;2700;30000;68x45;;E27
Нитевидные лампы (Filament);Ecola globe   LED Premium  6,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/34f/34fb640599d6736056e3fc05bf1ffd88.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886794;;6;220;4000;30000;78x45;;E14
Нитевидные лампы (Filament);Ecola globe   LED Premium  6,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/626/6262d49da826c68dbc86db4ff94ac17b.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886757;;6;220;2700;30000;78x45;;E14
Нитевидные лампы (Filament);Ecola globe   LED Premium  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/102/1025212dd0f3da2d951627b573785b27.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544416;;5;220;4000;30000;68x45;Filament;E27
Нитевидные лампы (Filament);Ecola globe   LED Premium  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;54.15;;57;;http://svetonik.ru/upload/iblock/122/122f6bd3cf69736ebdf5f5eafc55ce32.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544412;;5;220;2700;30000;68x45;Filament;E27
Нитевидные лампы (Filament);Ecola globe   LED Premium  5,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/f97/f972b3245dad5077120bf381de0fa26b.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544368;;5;220;4000;30000;78x45;Filament;E14
Нитевидные лампы (Filament);Ecola globe   LED Premium  5,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/06c/06ce16ebe6c5a6319ab69499d39bfeaa.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544357;;5;220;2700;30000;78x45;Filament;E14
Нитевидные лампы (Filament);Ecola globe   LED  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;63.65;;67;;http://svetonik.ru/upload/iblock/366/3669072617facb7911ab6a620c9ec12a.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474212;;5;220;4000;30000;68x45;Filament;E27
Нитевидные лампы (Filament);Ecola globe   LED  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;57.0;;60;;http://svetonik.ru/upload/iblock/659/659344bacb2bea651a2f746e29e942fd.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474199;;5;220;2700;30000;68x45;Filament;E27
Нитевидные лампы (Filament);Ecola globe   LED  5,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 78х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/2b0/2b0acb73f383c6d9141f6e22bb86070d.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474127;;5;220;4000;30000;78x45;Filament;E14
Нитевидные лампы (Filament);Ecola globe   LED  5,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 78х45;63.65;;67;;http://svetonik.ru/upload/iblock/63c/63c997ef7079766f7ed86fa223f5a10b.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474054;;5;220;2700;30000;78x45;Filament;E14
